domain_1622 IP_1368 1
domain_388 IP_618 1
domain_1122 IP_403 1
domain_1122 IP_138 1
domain_649 IP_241 1
domain_743 IP_61 1
domain_929 IP_1162 1
domain_813 IP_956 1
domain_1200 IP_1062 1
domain_1373 IP_495 1
domain_1373 IP_600 1
domain_1490 IP_1046 1
domain_1490 IP_231 1
domain_1879 IP_371 1
domain_1297 IP_699 1
domain_1297 IP_981 1
domain_1297 IP_1387 1
domain_1297 IP_387 1
domain_225 IP_74 1
domain_225 IP_1114 1
domain_225 IP_341 1
domain_225 IP_180 1
domain_225 IP_1126 1
domain_225 IP_1147 1
domain_225 IP_308 1
domain_225 IP_757 1
domain_225 IP_963 1
domain_402 IP_341 1
domain_402 IP_74 1
domain_402 IP_963 1
domain_402 IP_1114 1
domain_402 IP_308 1
domain_402 IP_180 1
domain_402 IP_1147 1
domain_402 IP_1126 1
domain_402 IP_757 1
domain_525 IP_618 1
domain_546 IP_567 1
domain_546 IP_502 1
domain_1333 IP_762 1
domain_1333 IP_1260 1
domain_1333 IP_0 1
domain_1333 IP_1073 1
domain_1934 IP_930 1
domain_1934 IP_1169 1
domain_1125 IP_632 1
domain_569 IP_502 1
domain_569 IP_567 1
domain_319 IP_1114 1
domain_319 IP_180 1
domain_319 IP_341 1
domain_319 IP_74 1
domain_319 IP_1147 1
domain_319 IP_308 1
domain_319 IP_1126 1
domain_319 IP_757 1
domain_319 IP_963 1
domain_876 IP_147 1
domain_1979 IP_1126 1
domain_1979 IP_757 1
domain_1979 IP_180 1
domain_1979 IP_308 1
domain_1979 IP_74 1
domain_1979 IP_1114 1
domain_1979 IP_1147 1
domain_1979 IP_963 1
domain_1979 IP_341 1
domain_446 IP_341 1
domain_446 IP_180 1
domain_446 IP_308 1
domain_446 IP_757 1
domain_446 IP_1114 1
domain_446 IP_74 1
domain_446 IP_963 1
domain_446 IP_1147 1
domain_446 IP_1126 1
domain_2370 IP_387 1
domain_2370 IP_981 1
domain_2370 IP_699 1
domain_2370 IP_1387 1
domain_2016 IP_305 1
domain_2016 IP_177 1
domain_861 IP_341 1
domain_861 IP_963 1
domain_861 IP_757 1
domain_861 IP_180 1
domain_861 IP_1114 1
domain_861 IP_74 1
domain_861 IP_1147 1
domain_861 IP_308 1
domain_861 IP_1126 1
domain_914 IP_162 1
domain_914 IP_224 1
domain_848 IP_1240 1
domain_2377 IP_950 1
domain_2377 IP_1230 1
domain_2063 IP_1387 1
domain_2063 IP_981 1
domain_2063 IP_387 1
domain_2063 IP_699 1
domain_916 IP_224 1
domain_916 IP_162 1
domain_1472 IP_981 1
domain_1472 IP_387 1
domain_1472 IP_1387 1
domain_1472 IP_699 1
domain_945 IP_487 1
domain_1100 IP_387 1
domain_1100 IP_699 1
domain_1100 IP_981 1
domain_1100 IP_1387 1
domain_35 IP_1114 1
domain_35 IP_757 1
domain_35 IP_1147 1
domain_35 IP_74 1
domain_35 IP_1126 1
domain_35 IP_963 1
domain_35 IP_341 1
domain_35 IP_308 1
domain_35 IP_180 1
domain_2078 IP_150 1
domain_1629 IP_1368 1
domain_2206 IP_826 1
domain_1635 IP_772 1
domain_2216 IP_653 1
domain_1631 IP_1016 1
domain_1872 IP_548 1
domain_1872 IP_9 1
domain_383 IP_341 1
domain_383 IP_74 1
domain_383 IP_963 1
domain_383 IP_180 1
domain_383 IP_1126 1
domain_383 IP_308 1
domain_383 IP_1147 1
domain_383 IP_1114 1
domain_383 IP_757 1
domain_2071 IP_1015 1
domain_535 IP_424 1
domain_535 IP_306 1
domain_1247 IP_976 1
domain_1247 IP_243 1
domain_212 IP_162 1
domain_212 IP_224 1
domain_1485 IP_322 1
domain_1485 IP_1278 1
domain_1691 IP_126 1
domain_1691 IP_552 1
domain_1105 IP_1338 1
domain_1222 IP_1408 1
domain_365 IP_1277 1
domain_365 IP_691 1
domain_1688 IP_365 1
domain_1688 IP_1272 1
domain_1167 IP_1432 1
domain_1167 IP_561 1
domain_1690 IP_599 1
domain_701 IP_387 1
domain_701 IP_699 1
domain_701 IP_1387 1
domain_701 IP_981 1
domain_1493 IP_198 1
domain_1509 IP_180 1
domain_1509 IP_308 1
domain_1509 IP_341 1
domain_1509 IP_1147 1
domain_1509 IP_963 1
domain_1509 IP_74 1
domain_1509 IP_757 1
domain_1509 IP_1114 1
domain_1509 IP_1126 1
domain_1771 IP_649 1
domain_1171 IP_34 1
domain_1171 IP_1108 1
domain_1664 IP_995 1
domain_1664 IP_1211 1
domain_1322 IP_610 1
domain_1322 IP_746 1
domain_1322 IP_53 1
domain_1322 IP_845 1
domain_355 IP_640 1
domain_529 IP_180 1
domain_529 IP_1126 1
domain_529 IP_74 1
domain_529 IP_1147 1
domain_529 IP_308 1
domain_529 IP_1114 1
domain_529 IP_341 1
domain_529 IP_757 1
domain_529 IP_963 1
domain_792 IP_981 1
domain_792 IP_387 1
domain_792 IP_699 1
domain_792 IP_1387 1
domain_353 IP_387 1
domain_353 IP_1387 1
domain_353 IP_699 1
domain_353 IP_981 1
domain_538 IP_1130 1
domain_915 IP_162 1
domain_915 IP_224 1
domain_1630 IP_324 1
domain_1630 IP_944 1
domain_2066 IP_795 1
domain_2066 IP_66 1
domain_403 IP_308 1
domain_403 IP_1147 1
domain_403 IP_1114 1
domain_403 IP_74 1
domain_403 IP_180 1
domain_403 IP_1126 1
domain_403 IP_757 1
domain_403 IP_963 1
domain_403 IP_341 1
domain_574 IP_838 1
domain_1565 IP_938 1
domain_1632 IP_984 1
domain_2337 IP_895 1
domain_2069 IP_774 1
domain_887 IP_828 1
domain_887 IP_197 1
domain_887 IP_1405 1
domain_940 IP_1089 1
domain_1477 IP_1220 1
domain_1477 IP_612 1
domain_942 IP_224 1
domain_942 IP_162 1
domain_4640 IP_339 1
domain_1307 IP_615 1
domain_1307 IP_1349 1
domain_846 IP_1387 1
domain_846 IP_387 1
domain_846 IP_981 1
domain_846 IP_699 1
domain_894 IP_981 1
domain_894 IP_387 1
domain_894 IP_1387 1
domain_894 IP_699 1
domain_15 IP_115 1
domain_251 IP_308 1
domain_251 IP_180 1
domain_251 IP_1147 1
domain_251 IP_757 1
domain_251 IP_1126 1
domain_251 IP_74 1
domain_251 IP_963 1
domain_251 IP_1114 1
domain_251 IP_341 1
domain_2072 IP_1034 1
domain_2072 IP_1402 1
domain_1538 IP_757 1
domain_1538 IP_963 1
domain_1538 IP_1114 1
